,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-mBHI-inoculumn-redo,0.9998177728481817,3.925080642256116e-05
D5-e003Coalescence-Inoculumn-mBHI,9.841268946895931e-05,0.859
A5-e003Coalescence-Inoculumn-mBHI,0.442,0.462
A5-e003Coalescence-mBHI-inoculumn-redo,0.458,0.467
A5-e003Coalescence-mBHI-p3,0.136,0.288
A5-e003Coalescence-mBHI-p7,0.037,0.247
A5-e003Coalescence-mGAM-p3,0.083,0.577
D2-e003Coalescence-Inoculumn-mBHI,0.454,0.455
D2-e003Coalescence-mBHI-p3,0.236,0.372
D2-e003Coalescence-mBHI-p5,0.06899999999999995,0.097
D2-e003Coalescence-mGAM-p5,0.059,0.779
E5-e003Coalescence-mBHI-p3_S12,0.168,0.403
E5-e003Coalescence-mBHI-p5_S4,0.075,0.239
E5-e003Coalescence-mBHI-p7_S100,0.048,0.153
E5-e003Coalescence-mGAM-p7_S148,0.046,0.793
H2-e003Coalescence-mBHI-p3_S45,0.1684356279819256,0.333
H2-e003Coalescence-mBHI-p7_S133,0.064,0.22099999999999997
H2-e003Coalescence-mGAM-p3_S93,0.1,0.667
H2-e003Coalescence-mGAM-p5_S85,0.00885561595239469,0.773
H2-e003Coalescence-mGAM-p7_S181,0.02,0.809
