,s1,s2,fixed_diffs,Species,Strain Shift
0,D5-e003Coalescence-Inoculumn-mBHI,C9-e003Coalescence-mGAM-p3,18653,102438,True
1,D5-e003Coalescence-Inoculumn-mBHI,D2-e004Assembly-mGAM-p7,40277,102438,True
2,D5-e003Coalescence-Inoculumn-mBHI,C11-e003Coalescence-mBHI-p3,9100,102438,True
3,D5-e003Coalescence-Inoculumn-mBHI,D11-e003Coalescence-mBHI-p5,0,102438,False
4,D5-e003Coalescence-Inoculumn-mBHI,C9-e003Coalescence-mGAM-p7,9134,102438,True
5,D5-e003Coalescence-Inoculumn-mBHI,C8-e003Coalescence-mGAM-p7,17575,102438,True
6,D5-e003Coalescence-Inoculumn-mBHI,D10-e003Coalescence-mBHI-p3,1849,102438,True
7,D5-e003Coalescence-Inoculumn-mBHI,B2-e003Coalescence-mBHI-p3,18123,102438,True
8,D5-e003Coalescence-Inoculumn-mBHI,A8-e003Coalescence-mBHI-p3,40307,102438,True
9,D5-e003Coalescence-Inoculumn-mBHI,B9-e003Coalescence-mGAM-p5,23355,102438,True
10,D5-e003Coalescence-Inoculumn-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,9915,102438,True
11,D5-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-mBHI-p3,22866,102438,True
12,D5-e003Coalescence-Inoculumn-mBHI,B5-e004Assembly-mBHI-p7,38579,102438,True
13,D5-e003Coalescence-Inoculumn-mBHI,G5-e004Assembly-epsilon-p3,37597,102438,True
14,D5-e003Coalescence-Inoculumn-mBHI,D10-e003Assembly-mGAM-p5,16345,102438,True
15,D5-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mGAM-p7,17549,102438,True
16,D5-e003Coalescence-Inoculumn-mBHI,e004-inoculumn-fecal-AK,42380,102438,True
17,D5-e003Coalescence-Inoculumn-mBHI,C3-e003Coalescence-mGAM-p3,8957,102438,True
18,D5-e003Coalescence-Inoculumn-mBHI,D4-e004Assembly-mGAM-p5,42311,102438,True
19,D5-e003Coalescence-Inoculumn-mBHI,D3-e003Coalescence-Inoculumn-mBHI,7,102438,False
20,D5-e003Coalescence-Inoculumn-mBHI,C3-e003Coalescence-mBHI-p7,21965,102438,True
21,D5-e003Coalescence-Inoculumn-mBHI,D11-e003Coalescence-mGAM-p5,0,102438,False
22,D5-e003Coalescence-Inoculumn-mBHI,A11-e003Coalescence-mGAM-p7,29,102438,False
23,D5-e003Coalescence-Inoculumn-mBHI,B8-e003Coalescence-mBHI-p5,22149,102438,True
24,D5-e003Coalescence-Inoculumn-mBHI,B10-e003Assembly-mGAM-p5,15846,102438,True
25,D5-e003Coalescence-Inoculumn-mBHI,C2-e003Coalescence-mGAM-p7,17582,102438,True
26,D5-e003Coalescence-Inoculumn-mBHI,B11-e003Coalescence-mGAM-p3,23135,102438,True
27,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-mGAM-p5,0,102438,False
28,D5-e003Coalescence-Inoculumn-mBHI,C9-e003Coalescence-mBHI-p5,18702,102438,True
29,D5-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-mGAM-p3,3,102438,False
30,D5-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM,41454,102438,True
31,D5-e003Coalescence-Inoculumn-mBHI,E5-e004Assembly-mGAM-p5,41004,102438,True
32,D5-e003Coalescence-Inoculumn-mBHI,D8-e003Coalescence-mGAM-p5,3,102438,False
33,D5-e003Coalescence-Inoculumn-mBHI,A12-e003Coalescence-mGAM-p3,0,102438,False
34,D5-e003Coalescence-Inoculumn-mBHI,D9-e003Coalescence-mGAM-p7,19590,102438,True
35,D5-e003Coalescence-Inoculumn-mBHI,E4-e004Assembly-mGAM-p7,41807,102438,True
36,D5-e003Coalescence-Inoculumn-mBHI,E3-e004Assembly-mGAM-p3,29088,102438,True
37,D5-e003Coalescence-Inoculumn-mBHI,D2-e004Assembly-mGAM-p3,39014,102438,True
38,D5-e003Coalescence-Inoculumn-mBHI,B10-e003Coalescence-mGAM-p3,13241,102438,True
39,D5-e003Coalescence-Inoculumn-mBHI,A9-e003Coalescence-mGAM-p7,22557,102438,True
40,D5-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-Inoculumn-mGAM,2174,102438,True
41,D5-e003Coalescence-Inoculumn-mBHI,D10-e003Coalescence-mBHI-p5,658,102438,False
42,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-mBHI-p3,536,102438,False
43,D5-e003Coalescence-Inoculumn-mBHI,D9-e003Coalescence-mGAM-p5,14649,102438,True
44,D5-e003Coalescence-Inoculumn-mBHI,C9-e003Coalescence-mBHI-p3,20502,102438,True
45,D5-e003Coalescence-Inoculumn-mBHI,D10-e003Coalescence-mGAM-p5,17519,102438,True
46,D5-e003Coalescence-Inoculumn-mBHI,B11-e003Assembly-mGAM-p5,4,102438,False
47,D5-e003Coalescence-Inoculumn-mBHI,B4-e003Coalescence-mGAM-p5,12016,102438,True
48,D5-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-mGAM-p5,33,102438,False
49,D5-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-mGAM-p5,122,102438,False
