,0.975,0.975
C12-e003Coalescence-mBHI-p3,0.5,1.0
C9-e003Coalescence-mGAM-p3,1.0,1.0
C11-e003Coalescence-mBHI-p3,0.4549249999999997,1.0
D11-e003Coalescence-mBHI-p5,1.0,1.0
C9-e003Coalescence-mGAM-p7,1.0,1.0
C8-e003Coalescence-mGAM-p7,0.417,1.0
D10-e003Coalescence-mBHI-p3,0.5600999999999995,1.0
A8-e003Coalescence-mBHI-p3,1.0,0.0
e004-inoculumn-fecal-BD,1.0,1.0
B9-e003Coalescence-mGAM-p5,1.0,1.0
A4-e003Coalescence-mBHI-inoculumn-redo,1.0,0.0
B3-e003Coalescence-mBHI-p3,1.0,1.0
B3-e004Assembly-mBHI-p7,1.0,1.0
B5-e004Assembly-mBHI-p7,1.0,1.0
D4-e003Coalescence-mBHI-p3,1.0,1.0
C4-e003GlycerolRevival-mBHI-p2,0.5868999999999996,1.0
C5-e004Assembly-mBHI-p3,1.0,1.0
C3-e004Assembly-mBHI-p5,1.0,1.0
B8-e003Assembly-mGAM-p5,1.0,0.0
B12-e003Coalescence-mBHI-p3,1.0,1.0
e004-inoculumn-fecal-AK,1.0,1.0
D3-e004Assembly-mGAM-p7,1.0,1.0
D4-e004Assembly-mGAM-p5,1.0,1.0
D3-e003Coalescence-Inoculumn-mBHI,1.0,1.0
C3-e003Coalescence-mBHI-p7,1.0,1.0
D11-e003Coalescence-mGAM-p5,1.0,1.0
A11-e003Coalescence-mGAM-p7,1.0,1.0
B8-e003Coalescence-mBHI-p5,1.0,1.0
B10-e003Assembly-mGAM-p5,0.0,1.0
C2-e003Coalescence-mGAM-p7,1.0,0.0
B11-e003Coalescence-mGAM-p3,1.0,1.0
B5-e003Assembly-mBHI-p5,1.0,1.0
D8-e003Assembly-mGAM-p5,1.0,0.0
D5-e003Coalescence-mGAM-p5,1.0,1.0
B5-e003Coalescence-mBHI-p5,1.0,1.0
D5-e003Coalescence-mBHI-p7,1.0,1.0
C9-e003Coalescence-mBHI-p5,0.927399999999976,1.0
A5-e003Coalescence-mGAM-p3,1.0,1.0
A2-e003Coalescence-Inoculumn-mGAM,1.0,0.0
E5-e004Assembly-mGAM-p5,1.0,1.0
D8-e003Coalescence-mGAM-p5,1.0,1.0
A12-e003Coalescence-mGAM-p3,1.0,1.0
C4-e004Assembly-mBHI-p5,1.0,1.0
D9-e003Coalescence-mGAM-p7,1.0,1.0
D8-e003Assembly-mGAM-p3,1.0,0.0
E4-e004Assembly-mGAM-p7,1.0,1.0
E3-e004Assembly-mGAM-p3,1.0,1.0
B10-e003Coalescence-mGAM-p3,1.0,1.0
A9-e003Coalescence-mGAM-p7,1.0,1.0
