,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p3,0.053742169469172436,
A10-e003Coalescence-mBHI-p5,8.242664029014178e-05,
A10-e003Coalescence-mBHI-p7,8.242664029014178e-05,
A10-e003Coalescence-mGAM-p3,0.06083086053412463,
A10-e003Coalescence-mGAM-p7,0.21628750412133202,
A4-e003Coalescence-Inoculumn-mGAM,0.0011539729640619848,
C2-e003Coalescence-Inoculumn-mGAM,0.024892845367622814,
C8-e003Coalescence-mBHI-p5,0.0,
C8-e003Coalescence-mBHI-p7,0.0005769864820309924,
C8-e003Coalescence-mGAM-p7,0.05036267721727662,
E100-e003Coalescence-mBHI-p5_S7,0.0004121332014507089,
E100-e003Coalescence-mBHI-p7_S103,0.0017309594460929772,
E100-e003Coalescence-mGAM-p3_S155,0.0601714474118035,
E100-e003Coalescence-mGAM-p5_S55,0.1724365314869766,
E100-e003Coalescence-mGAM-p7_S151,0.36869436201780414,
G8-e003Coalescence-mBHI-p3_S129,0.0010715463237718431,
G8-e003Coalescence-mBHI-p5_S29,0.0006594131223211342,
G8-e003Coalescence-mBHI-p7_S125,0.0008242664029014178,
G8-e003Coalescence-mGAM-p3_S177,0.1708704253214639,
G8-e003Coalescence-mGAM-p5_S77,0.018298714144411473,
G8-e003Coalescence-mGAM-p7_S173,0.015084075173095944,
A10-e003Coalescence-mBHI-p3,,0.00048760666395774075
A10-e003Coalescence-mBHI-p5,,0.0
A10-e003Coalescence-mBHI-p7,,0.0
A10-e003Coalescence-mGAM-p3,,0.0
A10-e003Coalescence-mGAM-p7,,0.0
A4-e003Coalescence-Inoculumn-mGAM,,0.0
C2-e003Coalescence-Inoculumn-mGAM,,0.0034945144250304754
C8-e003Coalescence-mBHI-p5,,0.0
C8-e003Coalescence-mBHI-p7,,0.0
C8-e003Coalescence-mGAM-p7,,0.0
E100-e003Coalescence-mBHI-p5_S7,,0.0
E100-e003Coalescence-mBHI-p7_S103,,0.0
E100-e003Coalescence-mGAM-p3_S155,,0.0
E100-e003Coalescence-mGAM-p5_S55,,0.0
E100-e003Coalescence-mGAM-p7_S151,,0.0
G8-e003Coalescence-mBHI-p3_S129,,0.0
G8-e003Coalescence-mBHI-p5_S29,,0.0
G8-e003Coalescence-mBHI-p7_S125,,0.0
G8-e003Coalescence-mGAM-p3_S177,,0.0
G8-e003Coalescence-mGAM-p5_S77,,0.0
G8-e003Coalescence-mGAM-p7_S173,,0.0
