,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,0.0,1.0
A3-e003Coalescence-mBHI-p3,0.0,1.0
A3-e003Coalescence-mGAM-p7,0.0,1.0
B2-e003Coalescence-Inoculumn-mBHI,0.149,0.862
B2-e003Coalescence-mBHI-p3,0.0,1.0
B2-e003Coalescence-mGAM-p3,0.0,1.0
E3-e003Coalescence-mBHI-p3_S10,0.0,1.0
E3-e003Coalescence-mBHI-p5_S2,0.0,1.0
E3-e003Coalescence-mGAM-p3_S58,0.0,1.0
E3-e003Coalescence-mGAM-p5_S50,0.033500000000000016,0.963
E3-e003Coalescence-mGAM-p7_S146,0.0,1.0
F2-e003Coalescence-mBHI-p3_S21,0.0,1.0
F2-e003Coalescence-mBHI-p5_S13,0.0,1.0
F2-e003Coalescence-mGAM-p3_S69,0.0,1.0
F2-e003Coalescence-mGAM-p5_S61,0.08599999999999997,0.904
F2-e003Coalescence-mGAM-p7_S157,0.0,1.0
