,0
A_A1_A2_AA_AA_mBHI_mBHI_2_S1,14.0
A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,9.0
A_A3_A4_AE_AA_mBHI_mBHI_2_S3,5.0
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,29.0
A_A5_A8_AA_AA_mGAM_mBHI_2_S5,77.0
A_A8_A11_AF_AA_mGAM_mBHI_2_S8,116.0
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,48.0
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,60.0
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,42.0
A_C2_C3_ACPP_AE_mBHI_mBHI_2_S26,3.0
A_C3_C4_AE_AE_mBHI_mBHI_2_S27,69.0
A_C4_C5_AF_AE_mBHI_mBHI_2_S28,94.0
A_C5_C8_AA_AE_mGAM_mBHI_2_S29,65.0
A_C8_C11_AF_AE_mGAM_mBHI_2_S32,272.0
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,47.0
A_C10_C3_ACPP_AE_mBHI_mBHI_4_S34,20.0
A_C11_C4_AE_AE_mBHI_mBHI_4_S35,377.0
A_C12_C5_AF_AE_mBHI_mBHI_4_S36,248.0
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,184.0
A_D2_D3_ACPP_AF_mBHI_mBHI_2_S38,11.0
A_D3_D4_AE_AF_mBHI_mBHI_2_S39,92.0
A_D4_D5_AF_AF_mBHI_mBHI_2_S40,311.0
A_D5_D8_AA_AF_mGAM_mBHI_2_S41,157.0
A_D8_D11_AF_AF_mGAM_mBHI_2_S44,360.0
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,48.0
A_D11_D4_AE_AF_mBHI_mBHI_4_S47,102.0
A_D12_D5_AF_AF_mBHI_mBHI_4_S48,45.0
A_E1_A2_AA_AA_mBHI_mGAM_2_S49,42.0
A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,4.0
A_E3_A4_AE_AA_mBHI_mGAM_2_S51,26.0
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,68.0
A_E5_A8_AA_AA_mGAM_mGAM_2_S53,165.0
A_E8_A11_AF_AA_mGAM_mGAM_2_S56,82.0
A_E9_A2_AA_AA_mBHI_mGAM_4_S57,102.0
A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,28.0
A_E11_A4_AE_AA_mBHI_mGAM_4_S59,199.0
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,60.0
A_F11_B4_AE_ACPP_mBHI_mGAM_4_S71,4.0
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,155.0
A_G2_C3_ACPP_AE_mBHI_mGAM_2_S74,22.0
A_G3_C4_AE_AE_mBHI_mGAM_2_S75,289.0
A_G4_C5_AF_AE_mBHI_mGAM_2_S76,57.0
A_G5_C8_AA_AE_mGAM_mGAM_2_S77,337.0
A_G8_C11_AF_AE_mGAM_mGAM_2_S80,271.0
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,355.0
A_G10_C3_ACPP_AE_mBHI_mGAM_4_S82,364.0
A_G11_C4_AE_AE_mBHI_mGAM_4_S83,16.0
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,108.0
A_H3_D4_AE_AF_mBHI_mGAM_2_S87,106.0
A_H4_D5_AF_AF_mBHI_mGAM_2_S88,154.0
A_H5_D8_AA_AF_mGAM_mGAM_2_S89,78.0
A_H8_D11_AF_AF_mGAM_mGAM_2_S92,124.0
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,302.0
A_H10_D3_ACPP_AF_mBHI_mGAM_4_S94,156.0
A_H11_D4_AE_AF_mBHI_mGAM_4_S95,81.0
A_H12_D5_AF_AF_mBHI_mGAM_4_S96,194.0
B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,39.0
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,58.0
B_A5_E8_AA_AA_mGAM_mBHI_2_S101,37.0
B_A6_E9_ACPP_AA_mGAM_mBHI_2_S102,26.0
B_A7_E10_AE_AA_mGAM_mBHI_2_S103,146.0
B_A8_E11_AF_AA_mGAM_mBHI_2_S104,14.0
B_A9_A8_AA_AA_mGAM_mBHI_4_S105,62.0
B_A10_A9_ACPP_AA_mGAM_mBHI_4_S106,153.0
B_A11_A10_AE_AA_mGAM_mBHI_4_S107,131.0
B_A12_A11_AF_AA_mGAM_mBHI_4_S108,212.0
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,40.0
B_C3_G4_AE_AE_mBHI_mBHI_2_S123,18.0
B_C4_G5_AF_AE_mBHI_mBHI_2_S124,28.0
B_C5_G8_AA_AE_mGAM_mBHI_2_S125,30.0
B_C6_G9_ACPP_AE_mGAM_mBHI_2_S126,3.0
B_C7_G10_AE_AE_mGAM_mBHI_2_S127,125.0
B_C8_G11_AF_AE_mGAM_mBHI_2_S128,18.0
B_C9_C8_AA_AE_mGAM_mBHI_4_S129,32.0
B_C10_C9_ACPP_AE_mGAM_mBHI_4_S130,98.0
B_C11_C10_AE_AE_mGAM_mBHI_4_S131,99.0
B_C12_C11_AF_AE_mGAM_mBHI_4_S132,146.0
B_D1_H2_AA_AF_mBHI_mBHI_2_S133,14.0
B_D2_H3_ACPP_AF_mBHI_mBHI_2_S134,41.0
B_D3_H4_AE_AF_mBHI_mBHI_2_S135,28.0
B_D4_H5_AF_AF_mBHI_mBHI_2_S136,170.0
B_D5_H8_AA_AF_mGAM_mBHI_2_S137,12.0
B_D6_H9_ACPP_AF_mGAM_mBHI_2_S138,6.0
B_D7_H10_AE_AF_mGAM_mBHI_2_S139,343.0
B_D8_H11_AF_AF_mGAM_mBHI_2_S140,37.0
B_D9_D8_AA_AF_mGAM_mBHI_4_S141,9.0
B_D10_D9_ACPP_AF_mGAM_mBHI_4_S142,42.0
B_D11_D10_AE_AF_mGAM_mBHI_4_S143,155.0
B_D12_D11_AF_AF_mGAM_mBHI_4_S144,12.0
B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,26.0
B_E3_E4_AE_AA_mBHI_mGAM_2_S147,24.0
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,129.0
B_E5_E8_AA_AA_mGAM_mGAM_2_S149,136.0
B_E6_E9_ACPP_AA_mGAM_mGAM_2_S150,432.0
B_E7_E10_AE_AA_mGAM_mGAM_2_S151,555.0
B_E8_E11_AF_AA_mGAM_mGAM_2_S152,165.0
B_E9_A8_AA_AA_mGAM_mGAM_4_S153,129.0
B_E10_A9_ACPP_AA_mGAM_mGAM_4_S154,392.0
B_E11_A10_AE_AA_mGAM_mGAM_4_S155,286.0
B_E12_A11_AF_AA_mGAM_mGAM_4_S156,44.0
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,93.0
B_G3_G4_AE_AE_mBHI_mGAM_2_S171,43.0
B_G4_G5_AF_AE_mBHI_mGAM_2_S172,26.0
B_G5_G8_AA_AE_mGAM_mGAM_2_S173,50.0
B_G6_G9_ACPP_AE_mGAM_mGAM_2_S174,40.0
