,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,0.375,1.0
A3-e003Coalescence-mBHI-p3,1.0,0.0
A3-e003Coalescence-mGAM-p7,0.0,1.0
B2-e003Coalescence-Inoculumn-mBHI,0.385,0.667
B2-e003Coalescence-mBHI-p3,1.0,0.0
B2-e003Coalescence-mBHI-p5,1.0,0.0
B2-e003Coalescence-mGAM-p3,0.0,1.0
E3-e003Coalescence-mBHI-p3_S10,0.545,0.5
E3-e003Coalescence-mBHI-p5_S2,1.0,0.0
E3-e003Coalescence-mGAM-p3_S58,0.0,1.0
E3-e003Coalescence-mGAM-p5_S50,0.0,1.0
E3-e003Coalescence-mGAM-p7_S146,0.0,1.0
F2-e003Coalescence-mBHI-p3_S21,0.0,1.0
F2-e003Coalescence-mBHI-p5_S13,1.0,0.0
F2-e003Coalescence-mGAM-p3_S69,0.0,1.0
F2-e003Coalescence-mGAM-p5_S61,0.0,1.0
F2-e003Coalescence-mGAM-p7_S157,0.0,1.0
