,0.025,0.025
A3-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
A3-e003Coalescence-mBHI-p3,0.0,0.5449999999999999
A3-e003Coalescence-mGAM-p7,0.0,1.0
B2-e003Coalescence-Inoculumn-mBHI,0.3,0.0
B2-e003Coalescence-mBHI-p3,0.0,0.538
B2-e003Coalescence-mBHI-p5,0.0,1.0
B2-e003Coalescence-mGAM-p3,0.0,0.778
E3-e003Coalescence-mBHI-p3_S10,0.0,0.375
E3-e003Coalescence-mBHI-p5_S2,0.0,1.0
E3-e003Coalescence-mGAM-p3_S58,0.0,0.765
E3-e003Coalescence-mGAM-p5_S50,0.0,0.881
E3-e003Coalescence-mGAM-p7_S146,0.0,0.963
F2-e003Coalescence-mBHI-p3_S21,0.0,0.44399999999999995
F2-e003Coalescence-mBHI-p5_S13,0.0,0.812
F2-e003Coalescence-mGAM-p3_S69,0.0,1.0
F2-e003Coalescence-mGAM-p5_S61,0.0,0.913
F2-e003Coalescence-mGAM-p7_S157,0.0,0.9309000000000001
